Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Revenue,Profit,Year,Month,Month_Name,Quarter,Day,Day_Name
1001,5/2/2026,C406,Bookshelf,Furniture,Mumbai,2,18148,1536,2026,5,May,2,2,Saturday
1002,4/7/2026,C296,Air Purifier,Home,Mumbai,6,196692,32006,2026,4,April,2,7,Tuesday
1003,1/7/2026,C827,Mouse,Electronics,Kolkata,3,6189,1387,2026,1,January,1,7,Wednesday
1004,4/27/2026,C050,Jeans,Apparel,Lucknow,1,5579,916,2026,4,April,2,27,Monday
1005,5/1/2026,C205,Desk,Furniture,Bangalore,1,16301,2861,2026,5,May,2,1,Friday
1006,3/21/2026,C585,Bookshelf,Furniture,Mumbai,5,65980,6049,2026,3,March,1,21,Saturday
1007,6/16/2026,Unknown,Sofa,Furniture,Hyderabad,5,240240,47282,2026,6,June,2,16,Tuesday
1008,2/27/2026,C512,Jeans,Apparel,Hyderabad,7,28651,5970,2026,2,February,1,27,Friday
1009,2/6/2026,C167,Jeans,Apparel,Pune,1,5329,615,2026,2,February,1,6,Friday
1010,4/29/2026,C784,Chair,Furniture,Chennai,2,25360,4151,2026,4,April,2,29,Wednesday
1011,6/22/2026,C610,Desk,Furniture,Jaipur,6,57816,8680,2026,6,June,2,22,Monday
1012,1/8/2026,C842,Headphones,Electronics,Bangalore,2,10850,2064,2026,1,January,1,8,Thursday
1013,3/30/2026,C344,Phone,Electronics,Lucknow,5,294495,62926,2026,3,March,1,30,Monday
1014,3/4/2026,C394,Tablet,Electronics,Delhi,2,30704,3050,2026,3,March,1,4,Wednesday
1015,7/29/2026,C173,Camera,Electronics,Kolkata,2,163348,26638,2026,7,July,3,29,Wednesday
1016,8/16/2026,C858,Phone,Electronics,Hyderabad,2,87312,15612,2026,8,August,3,16,Sunday
1017,7/26/2026,C319,Laptop,Electronics,Bangalore,2,162832,13188,2026,7,July,3,26,Sunday
1018,7/15/2026,C485,Tablet,Electronics,Mumbai,3,108918,22787,2026,7,July,3,15,Wednesday
1019,6/13/2026,C580,Tablet,Electronics,Bangalore,5,77065,11534,2026,6,June,2,13,Saturday
1020,7/31/2026,C254,Printer,Electronics,Bangalore,1,9617,1587,2026,7,July,3,31,Friday
1021,6/22/2026,C349,Shoes,Apparel,Pune,1,11881,1051,2026,6,June,2,22,Monday
1022,4/5/2026,C470,Smartwatch,Electronics,Delhi,3,77757,8883,2026,4,April,2,5,Sunday
1023,5/25/2026,C729,Mouse,Electronics,Chennai,5,18925,2406,2026,5,May,2,25,Monday
1024,6/14/2026,C011,Mouse,Electronics,Bangalore,7,10311,1709,2026,6,June,2,14,Sunday
1025,2/18/2026,C494,Sofa,Furniture,Lucknow,6,173274,22357,2026,2,February,1,18,Wednesday
1026,3/27/2026,C759,Tablet,Electronics,Pune,3,34095,5627,2026,3,March,1,27,Friday
1027,1/12/2026,C084,Air Purifier,Home,Delhi,5,58610,8044,2026,1,January,1,12,Monday
1028,1/1/2026,C344,Headphones,Electronics,Jaipur,3,31923,3164,2026,1,January,1,1,Thursday
1029,4/4/2026,C751,Vacuum Cleaner,Home,Lucknow,7,48272,10697,2026,4,April,2,4,Saturday
1030,5/13/2026,C095,Sofa,Furniture,Pune,2,102370,20812,2026,5,May,2,13,Wednesday
1031,7/23/2026,C665,Bookshelf,Furniture,Jaipur,3,28350,5112,2026,7,July,3,23,Thursday
1032,5/20/2026,C325,Makeup Kit,Beauty,Jaipur,3,8511,1414,2026,5,May,2,20,Wednesday
1033,7/15/2026,C748,Bookshelf,Furniture,Ahmedabad,4,44668,5031,2026,7,July,3,15,Wednesday
1034,3/7/2026,C697,Backpack,Apparel,Delhi,7,39109,7991,2026,3,March,1,7,Saturday
1035,5/31/2026,C599,Chair,Furniture,Ahmedabad,7,18165,3632,2026,5,May,2,31,Sunday
1036,5/14/2026,C248,Keyboard,Electronics,Delhi,5,31085,3398,2026,5,May,2,14,Thursday
1037,4/18/2026,C693,Backpack,Apparel,Bangalore,2,9662,1675,2026,4,April,2,18,Saturday
1038,4/5/2026,C194,Makeup Kit,Beauty,Pune,3,5172,447,2026,4,April,2,5,Sunday
1039,5/7/2026,C824,Phone,Electronics,Jaipur,2,58188,7615,2026,5,May,2,7,Thursday
1040,2/23/2026,C066,Air Purifier,Home,Kolkata,6,133470,28017,2026,2,February,1,23,Monday
1041,4/6/2026,C731,Mouse,Electronics,Delhi,5,19970,2639,2026,4,April,2,6,Monday
1042,1/25/2026,C534,Bookshelf,Furniture,Bangalore,7,66542,8932,2026,1,January,1,25,Sunday
1043,3/1/2026,C465,Tablet,Electronics,Pune,7,240611,53514,2026,3,March,1,1,Sunday
1044,3/13/2026,C437,Desk,Furniture,Mumbai,1,7089,910,2026,3,March,1,13,Friday
1045,1/27/2026,C185,Mouse,Electronics,Mumbai,4,15632,1611,2026,1,January,1,27,Tuesday
1046,6/27/2026,C289,headphones,Electronics,Ahmedabad,4,32324,7406,2026,6,June,2,27,Saturday
1047,1/14/2026,C250,Keyboard,Electronics,Hyderabad,5,30500,4953,2026,1,January,1,14,Wednesday
1048,3/29/2026,C381,Printer,Electronics,Chennai,4,101548,18150,2026,3,March,1,29,Sunday
