Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Revenue,Profit
1001,2/5/2026,C406,Bookshelf,Furniture,Mumbai,2,18148,1536
1002,7/4/2026,C296,Air Purifier,Home,Mumbai,6,196692,32006
1003,7/1/2026,C827,Mouse,Electronics,Kolkata,3,"6,189 INR",1387
1004,27-04-2026,C050,Jeans,Apparel,Lucknow,1,5579,916
1005,1/5/2026,C205,Desk,Furniture,Bangalore,1,16301,2861
1006,21-03-2026,C585,Bookshelf,Furniture,Mumbai,5,65980,6049
1007,16-06-2026,,Sofa,Furniture,Hyderabad,5,240240,47282
1008,27-02-2026,C512,Jeans,Apparel,Hyderabad,7,28651,5970
1009,6/2/2026,C167,Jeans,Apparel,Pune,1,5329,615
1010,29-04-2026,C784,Chair,Furniture,Chennai,2,25360,4151
1011,22-06-2026,C610,Desk,Furniture,Jaipur,6,57816,8680
1012,8/1/2026,C842,Headphones,Electronics,Bangalore,2,10850,2064
1013,30-03-2026,C344,Phone,Electronics,Lucknow,5,294495,62926
1014,4/3/2026,C394,Tablet,Electronics,Delhi,2,30704,3050
1015,29-07-2026,C173,Camera,Electronics,Kolkata,2,163348,26638
1016,16-08-2026,C858,Phone,Electronics,Hyderabad,2,87312,15612
1017,26-07-2026,C319,Laptop,Electronics,Bangalore,2,162832,13188
1018,15-07-2026,C485,Tablet,Electronics,Mumbai,3,108918,22787
1019,13-06-2026,C580,Tablet,Electronics,Bangalore,5,77065,11534
1020,31-07-2026,C254,Printer,Electronics,Bangalore,1,9617,1587
1021,22-06-2026,C349,Shoes,Apparel,Pune,1,11881,1051
1022,5/4/2026,C470,Smartwatch,Electronics,Delhi,3,77757,8883
1023,25-05-2026,C729,Mouse,Electronics,Chennai,5,18925,2406
1024,14-06-2026,C011,Mouse,Electronics,Bangalore,7,10311,1709
1025,18-02-2026,C494,Sofa,Furniture,Lucknow,6,173274,22357
1026,27-03-2026,C759,Tablet,Electronics,pune,3,34095,5627
1027,12/1/2026,C084,Air Purifier,Home,Delhi,5,58610,8044
1028,1/1/2026,C344,Headphones,Electronics,Jaipur,3,31923,3164
1029,4/4/2026,C751,Vacuum Cleaner,Home,Lucknow,7,48272,10697
1030,13-05-2026,C095,Sofa,Furniture,Pune,2,102370,20812
1031,23-07-2026,C665,Bookshelf,Furniture,Jaipur,3,28350,5112
1032,20-05-2026,C325,Makeup Kit,Beauty,Jaipur,3,8511,1414
1033,15-07-2026,C748,Bookshelf,Furniture,Ahmedabad,4,44668,5031
1034,7/3/2026,C697,Backpack,Apparel,Delhi,7,39109,7991
1035,31-05-2026,C599,Chair,Furniture,Ahmedabad,7,18165,3632
1036,14-05-2026,C248,Keyboard,Electronics,Delhi,5,31085,3398
1037,18-04-2026,C693,Backpack,Apparel,Bangalore,2,9662,1675
1038,5/4/2026,C194,Makeup Kit,Beauty,Pune,3,5172,447
1039,7/5/2026,C824,Phone,Electronics,Jaipur,2,58188,7615
1040,23-02-2026,C066,Air Purifier,Home,Kolkata,6,133470,28017
1041,6/4/2026,C731,Mouse,Electronics,Delhi,5,19970,2639
1042,25-01-2026,C534,Bookshelf,Furniture,Bangalore,7,66542,8932
1043,1/3/2026,C465,Tablet,Electronics,Pune,7,240611,53514
1044,13-03-2026,C437,Desk,Furniture,Mumbai,1,7089,910
1045,27-01-2026,C185,Mouse,Electronics,Mumbai,4,15632,1611
1046,27-06-2026,C289,headphones,Electronics,Ahmedabad,4,32324,7406
1047,14-01-2026,C250,Keyboard,Electronics,Hyderabad,5,30500,4953
1048,29-03-2026,C381,Printer,Electronics,Chennai,4,101548,18150
1049,27-05-2026,C517,Chair,Furniture,Lucknow,1,7711,869
1050,7/8/2026,C269,Backpack,Apparel,Ahmedabad,2,3534,616
1051,4/4/2026,C811,Desk,Furniture,Pune,7,68614,8278
1052,16-01-2026,C852,Chair,Furniture,Pune,3,39867,4377
1053,20-07-2026,C468,Phone,Electronics,Jaipur,7,125951,10903
1054,10/1/2026,C476,Camera,Electronics,BANGALORE,5,532590,73570
1055,15-01-2026,C378,Shoes,Apparel,Mumbai,6,30432,6080
1056,24-06-2026,C652,Chair,Furniture,Delhi,6,17148,3817
1057,5/2/2026,C711,Backpack,Apparel,Mumbai,5,22520,4529
1058,4/4/2026,C377,Tablet,Electronics,Bangalore,4,199112,34457
1059,20-07-2026,C824,Phone,Electronics,Kolkata,3,86283,18304
1060,21-04-2026,C709,Shoes,Apparel,Jaipur,7,42336,7122
1061,20-02-2026,C285,Chair,Furniture,Bangalore,4,44568,8826
1062,2/6/2026,C025,Keyboard,Electronics,Pune,4,26424,2829
1063,26-07-2026,C779,Smartwatch,Electronics,KOLKATA,2,5322,1106
1064,18-06-2026,C169,Mouse,Electronics,Kolkata,2,7806,1286
1065,24-04-2026,C395,Desk,Furniture,Jaipur,7,125517,20539
1066,15-04-2026,C096,Keyboard,Electronics,Lucknow,4,20748,4351
1067,10/1/2026,C294,Desk,Furniture,Kolkata,1,9537,1788
1068,17-03-2026,C117,Smartwatch,Electronics,Lucknow,5,97550,
1069,25-03-2026,C594,Monitor,Electronics,Pune,6,168894,18212
1070,12/4/2026,C190,Backpack,Apparel,Lucknow,1,4430,745
1071,13-05-2026,C121,Mouse,Electronics,Jaipur,5,17900,2694
1072,10/5/2026,C591,Monitor,Electronics,Jaipur,3,62061,6843
1073,5/8/2026,C465,Makeup Kit,Beauty,Bangalore,3,6168,1084
1074,14-02-2026,C556,Mouse,Electronics,Chennai,1,2886,508
1075,18-01-2026,C509,Monitor,Electronics,Jaipur,,97612,14936
1076,2/7/2026,C019,Laptop,Electronics,Kolkata,6,343068,60692
1077,12/1/2026,C805,Bookshelf,Furniture,Delhi,4,36720,8301
1078,16-02-2026,C133,Makeup Kit,Beauty,Pune,7,16450,1726
1079,15-06-2026,C743,Laptop,Electronics,Bangalore,7,558691,87111
1080,12/7/2026,C516,Tablet,Electronics,Mumbai,3,35439,6928
1081,8/5/2026,C001,Desk,Furniture,Lucknow,4,36096,6953
1082,25-07-2026,C638,Jeans,Apparel,Kolkata,2,7064,1165
1083,10/1/2026,C273,Sofa,Furniture,DELHI,3,170325,34822
1084,2/6/2026,C683,Printer,Electronics,Ahmedabad,7,56315,12755
1085,2/8/2026,C100,Desk,Furniture,Lucknow,5,98190,23501
1086,30-03-2026,C818,Headphones,Electronics,Kolkata,6,23610,1922
1087,29-03-2026,C491,Headphones,Electronics,Hyderabad,5,56655,7497
1088,29-07-2026,C448,Laptop,Electronics,Pune,4,350692,38050
1089,27-06-2026,C882,Vacuum Cleaner,Home,Ahmedabad,5,36380,4303
1090,25-08-2026,C548,Shoes,Apparel,Kolkata,5,15480,2379
1091,1/8/2026,C001,Bookshelf,Furniture,Chennai,1,12089,2595
1092,17-05-2026,C120,Makeup Kit,Beauty,Bangalore,1,5239,573
1093,30-03-2026,C722,Bookshelf,Furniture,Kolkata,5,63305,10072
1094,20-04-2026,C285,Make Up Kit,Beauty,Lucknow,3,15399,3242
1095,13-08-2026,C721,Desk,Furniture,Lucknow,6,141468,23692
1096,1/4/2026,C469,Tablet,Electronics,Bangalore,5,185085,19748
1097,22-08-2026,C322,Phone,Electronics,Kolkata,6,341118,32946
1098,26-01-2026,C036,Laptop,Electronics,Jaipur,2,189458,45248
1099,18-02-2026,C574,Smartwatch,Electronics,Mumbai,3,74280,15199
1100,13-04-2026,C148,Vacuum Cleaner,Home,Chennai,6,109554,23032
1101,22-01-2026,C595,Headphones,,Jaipur,2,4646,875
1102,24-06-2026,C822,Tablet,Electronics,Kolkata,6,134826,27431
1103,16-06-2026,C594,Desk,Furniture,Jaipur,2,25802,4527
1104,25-01-2026,C875,Headphones,Electronics,Hyderabad,7,15491,3218
1105,21-07-2026,C397,Laptop,Electronics,Delhi,7,376033,88072
1106,13-04-2026,C559,Headphones,Electronics,Kolkata,4,9192,1524
1107,1/2/2026,C075,Vacuum Cleaner,Home,Lucknow,1,12422,2014
1108,23-04-2026,C737,Mouse,Electronics,Mumbai,4,3800,708
1109,2/5/2026,C369,Keyboard,Electronics,Pune,6,14538,3380
1110,3/8/2026,C412,Headphones,Electronics,Lucknow,2,23984,3286
1111,2/4/2026,C640,Laptop,Electronics,Chennai,4,326008,46466
1112,17-07-2026,C567,Vacuum Cleaner,Home,Mumbai,4,69040,13247
1113,7/3/2026,,Keyboard,Electronics,Delhi,3,8817,1315
1114,9/5/2026,C490,Bookshelf,Furniture,Kolkata,4,67020,11022
